filename,label,label_id
Apple___Apple_scab_1.jpg,Apple___Apple_scab,0
Apple___Apple_scab_2.jpg,Apple___Apple_scab,0
Apple___Apple_scab_3.jpg,Apple___Apple_scab,0
Apple___Apple_scab_4.jpg,Apple___Apple_scab,0
Apple___Apple_scab_5.jpg,Apple___Apple_scab,0
Apple___Apple_scab_6.jpg,Apple___Apple_scab,0
Apple___Apple_scab_7.jpg,Apple___Apple_scab,0
Apple___Apple_scab_8.jpg,Apple___Apple_scab,0
Apple___Apple_scab_9.jpg,Apple___Apple_scab,0
Apple___Apple_scab_10.jpg,Apple___Apple_scab,0
Apple___Apple_scab_11.jpg,Apple___Apple_scab,0
Apple___Apple_scab_12.jpg,Apple___Apple_scab,0
Apple___Apple_scab_13.jpg,Apple___Apple_scab,0
Apple___Apple_scab_14.jpg,Apple___Apple_scab,0
Apple___Apple_scab_15.jpg,Apple___Apple_scab,0
Apple___Apple_scab_16.jpg,Apple___Apple_scab,0
Apple___Apple_scab_17.jpg,Apple___Apple_scab,0
Apple___Apple_scab_18.jpg,Apple___Apple_scab,0
Apple___Apple_scab_19.jpg,Apple___Apple_scab,0
Apple___Apple_scab_20.jpg,Apple___Apple_scab,0
Apple___Apple_scab_21.jpg,Apple___Apple_scab,0
Apple___Apple_scab_22.jpg,Apple___Apple_scab,0
Apple___Apple_scab_23.jpg,Apple___Apple_scab,0
Apple___Apple_scab_24.jpg,Apple___Apple_scab,0
Apple___Apple_scab_25.jpg,Apple___Apple_scab,0
Apple___Apple_scab_26.jpg,Apple___Apple_scab,0
Apple___Apple_scab_27.jpg,Apple___Apple_scab,0
Apple___Apple_scab_28.jpg,Apple___Apple_scab,0
Apple___Apple_scab_29.jpg,Apple___Apple_scab,0
Apple___Apple_scab_30.jpg,Apple___Apple_scab,0
Apple___Apple_scab_31.jpg,Apple___Apple_scab,0
Apple___Apple_scab_32.jpg,Apple___Apple_scab,0
Apple___Apple_scab_33.jpg,Apple___Apple_scab,0
Apple___Apple_scab_34.jpg,Apple___Apple_scab,0
Apple___Apple_scab_35.jpg,Apple___Apple_scab,0
Apple___Apple_scab_36.jpg,Apple___Apple_scab,0
Apple___Apple_scab_37.jpg,Apple___Apple_scab,0
Apple___Apple_scab_38.jpg,Apple___Apple_scab,0
Apple___Apple_scab_39.jpg,Apple___Apple_scab,0
Apple___Apple_scab_40.jpg,Apple___Apple_scab,0
Apple___Apple_scab_41.jpg,Apple___Apple_scab,0
Apple___Apple_scab_42.jpg,Apple___Apple_scab,0
Apple___Apple_scab_43.jpg,Apple___Apple_scab,0
Apple___Apple_scab_44.jpg,Apple___Apple_scab,0
Apple___Apple_scab_45.jpg,Apple___Apple_scab,0
Apple___Apple_scab_46.jpg,Apple___Apple_scab,0
Apple___Apple_scab_47.jpg,Apple___Apple_scab,0
Apple___Apple_scab_48.jpg,Apple___Apple_scab,0
Apple___Apple_scab_49.jpg,Apple___Apple_scab,0
Apple___Apple_scab_50.jpg,Apple___Apple_scab,0
Apple___Apple_scab_51.jpg,Apple___Apple_scab,0
Apple___Apple_scab_52.jpg,Apple___Apple_scab,0
Apple___Apple_scab_53.jpg,Apple___Apple_scab,0
Apple___Apple_scab_54.jpg,Apple___Apple_scab,0
Apple___Apple_scab_55.jpg,Apple___Apple_scab,0
Apple___Apple_scab_56.jpg,Apple___Apple_scab,0
Apple___Apple_scab_57.jpg,Apple___Apple_scab,0
Apple___Apple_scab_58.jpg,Apple___Apple_scab,0
Apple___Apple_scab_59.jpg,Apple___Apple_scab,0
Apple___Apple_scab_60.jpg,Apple___Apple_scab,0
Apple___Apple_scab_61.jpg,Apple___Apple_scab,0
Apple___Apple_scab_62.jpg,Apple___Apple_scab,0
Apple___Apple_scab_63.jpg,Apple___Apple_scab,0
Apple___Apple_scab_64.jpg,Apple___Apple_scab,0
Apple___Apple_scab_65.jpg,Apple___Apple_scab,0
Apple___Apple_scab_66.jpg,Apple___Apple_scab,0
Apple___Apple_scab_67.jpg,Apple___Apple_scab,0
Apple___Apple_scab_68.jpg,Apple___Apple_scab,0
Apple___Apple_scab_69.jpg,Apple___Apple_scab,0
Apple___Apple_scab_70.jpg,Apple___Apple_scab,0
Apple___Apple_scab_71.jpg,Apple___Apple_scab,0
Apple___Apple_scab_72.jpg,Apple___Apple_scab,0
Apple___Apple_scab_73.jpg,Apple___Apple_scab,0
Apple___Apple_scab_74.jpg,Apple___Apple_scab,0
Apple___Apple_scab_75.jpg,Apple___Apple_scab,0
Apple___Apple_scab_76.jpg,Apple___Apple_scab,0
Apple___Apple_scab_77.jpg,Apple___Apple_scab,0
Apple___Apple_scab_78.jpg,Apple___Apple_scab,0
Apple___Apple_scab_79.jpg,Apple___Apple_scab,0
Apple___Apple_scab_80.jpg,Apple___Apple_scab,0
Apple___Apple_scab_81.jpg,Apple___Apple_scab,0
Apple___Apple_scab_82.jpg,Apple___Apple_scab,0
Apple___Apple_scab_83.jpg,Apple___Apple_scab,0
Apple___Apple_scab_84.jpg,Apple___Apple_scab,0
Apple___Apple_scab_85.jpg,Apple___Apple_scab,0
Apple___Apple_scab_86.jpg,Apple___Apple_scab,0
Apple___Apple_scab_87.jpg,Apple___Apple_scab,0
Apple___Apple_scab_88.jpg,Apple___Apple_scab,0
Apple___Apple_scab_89.jpg,Apple___Apple_scab,0
Apple___Apple_scab_90.jpg,Apple___Apple_scab,0
Apple___Apple_scab_91.jpg,Apple___Apple_scab,0
Apple___Apple_scab_92.jpg,Apple___Apple_scab,0
Apple___Apple_scab_93.jpg,Apple___Apple_scab,0
Apple___Apple_scab_94.jpg,Apple___Apple_scab,0
Apple___Apple_scab_95.jpg,Apple___Apple_scab,0
Apple___Apple_scab_96.jpg,Apple___Apple_scab,0
Apple___Apple_scab_97.jpg,Apple___Apple_scab,0
Apple___Apple_scab_98.jpg,Apple___Apple_scab,0
Apple___Apple_scab_99.jpg,Apple___Apple_scab,0
Apple___Apple_scab_100.jpg,Apple___Apple_scab,0
Apple___Apple_scab_101.jpg,Apple___Apple_scab,0
Apple___Apple_scab_102.jpg,Apple___Apple_scab,0
Apple___Apple_scab_103.jpg,Apple___Apple_scab,0
Apple___Apple_scab_104.jpg,Apple___Apple_scab,0
Apple___Apple_scab_105.jpg,Apple___Apple_scab,0
Apple___Apple_scab_106.jpg,Apple___Apple_scab,0
Apple___Apple_scab_107.jpg,Apple___Apple_scab,0
Apple___Apple_scab_108.jpg,Apple___Apple_scab,0
Apple___Apple_scab_109.jpg,Apple___Apple_scab,0
Apple___Apple_scab_110.jpg,Apple___Apple_scab,0
Apple___Apple_scab_111.jpg,Apple___Apple_scab,0
Apple___Apple_scab_112.jpg,Apple___Apple_scab,0
Apple___Apple_scab_113.jpg,Apple___Apple_scab,0
Apple___Apple_scab_114.jpg,Apple___Apple_scab,0
Apple___Apple_scab_115.jpg,Apple___Apple_scab,0
Apple___Apple_scab_116.jpg,Apple___Apple_scab,0
Apple___Apple_scab_117.jpg,Apple___Apple_scab,0
Apple___Apple_scab_118.jpg,Apple___Apple_scab,0
Apple___Apple_scab_119.jpg,Apple___Apple_scab,0
Apple___Apple_scab_120.jpg,Apple___Apple_scab,0
Apple___Apple_scab_121.jpg,Apple___Apple_scab,0
Apple___Apple_scab_122.jpg,Apple___Apple_scab,0
Apple___Apple_scab_123.jpg,Apple___Apple_scab,0
Apple___Apple_scab_124.jpg,Apple___Apple_scab,0
Apple___Apple_scab_125.jpg,Apple___Apple_scab,0
Apple___Apple_scab_126.jpg,Apple___Apple_scab,0
Apple___Apple_scab_127.jpg,Apple___Apple_scab,0
Apple___Apple_scab_128.jpg,Apple___Apple_scab,0
Apple___Apple_scab_129.jpg,Apple___Apple_scab,0
Apple___Apple_scab_130.jpg,Apple___Apple_scab,0
Apple___Apple_scab_131.jpg,Apple___Apple_scab,0
Apple___Apple_scab_132.jpg,Apple___Apple_scab,0
Apple___Apple_scab_133.jpg,Apple___Apple_scab,0
Apple___Apple_scab_134.jpg,Apple___Apple_scab,0
Apple___Apple_scab_135.jpg,Apple___Apple_scab,0
Apple___Apple_scab_136.jpg,Apple___Apple_scab,0
Apple___Apple_scab_137.jpg,Apple___Apple_scab,0
Apple___Apple_scab_138.jpg,Apple___Apple_scab,0
Apple___Apple_scab_139.jpg,Apple___Apple_scab,0
Apple___Apple_scab_140.jpg,Apple___Apple_scab,0
Apple___Apple_scab_141.jpg,Apple___Apple_scab,0
Apple___Apple_scab_142.jpg,Apple___Apple_scab,0
